列 ad16 最大值所在的行: ['361280', '2', 'バブル', '泡泡']
列 ad17 最大值所在的行: ['484761', '2', 'しかのこのこのここしたんたん', '鹿乃子乃子乃子虎视眈眈']
列 ad18 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
列 ad19 最大值所在的行: ['361280', '2', 'バブル', '泡泡']
列 ad20 最大值所在的行: ['484761', '2', 'しかのこのこのここしたんたん', '鹿乃子乃子乃子虎视眈眈']
列 ad21 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 ad22 最大值所在的行: ['361280', '2', 'バブル', '泡泡']
列 ad23 最大值所在的行: ['285437', '2', '三体', '三体']
列 ad24 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 ad25 最大值所在的行: ['361280', '2', 'バブル', '泡泡']
列 ad26 最大值所在的行: ['285437', '2', '三体', '三体']
列 ad27 最大值所在的行: ['163046', '2', '迷家-マヨイガ-', '迷家']
列 ad28 最大值所在的行: ['236657', '2', '僕のヒーローアカデミア 第6期', '我的英雄学院 第六季']
列 ad29 最大值所在的行: ['285437', '2', '三体', '三体']
列 ad30 最大值所在的行: ['212186', '2', 'けものフレンズ2', '兽娘动物园2']
列 tc1 最大值所在的行: ['975', '2', 'ONE PIECE', '航海王']
列 tc2 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 tc3 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 tc4 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 tc5 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 tc6 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 tc7 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 tc8 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 tc9 最大值所在的行: ['400602', '2', '葬送のフリーレン', '葬送的芙莉莲']
列 tc10 最大值所在的行: ['328609', '2', 'ぼっち・ざ・ろっく！', '孤独摇滚！']
列 tc11 最大值所在的行: ['10380', '2', 'STEINS;GATE', '命运石之门']
